Как дешевле всего купить смартфон,https://kaktus.media/doc/471132_kak_deshevle_vsego_kypit_smartfon.html
"""Дети от одного отца могут пожениться, не зная этого"". Депутат опасается за генофонд КР",https://kaktus.media/doc/471130_deti_ot_odnogo_otca_mogyt_pojenitsia_ne_znaia_etogo._depytat_opasaetsia_za_genofond_kr.html
"Бишкек затопило после дождей. В мэрии считают, что в этом виноват мусор в ирригации",https://kaktus.media/doc/471129_bishkek_zatopilo_posle_dojdey._v_merii_schitaut_chto_v_etom_vinovat_mysor_v_irrigacii.html
Скоропостижно скончался экс-глава Нацстаткома Орозмат Абдыкалыков,https://kaktus.media/doc/471128_skoropostijno_skonchalsia_eks_glava_nacstatkoma_orozmat_abdykalykov.html
"Болеете и не можете выздороветь? Возможно, причина связана с ""медленным цунами""",https://kaktus.media/doc/471100_boleete_i_ne_mojete_vyzdorovet_vozmojno_prichina_sviazana_s_medlennym_cynami.html
Когда бишкекчанам ждать новые автобусы,https://kaktus.media/doc/471126_kogda_bishkekchanam_jdat_novye_avtobysy.html
Мэр: Желающих работать учителями очень много,https://kaktus.media/doc/471124_mer:_jelaushih_rabotat_ychiteliami_ochen_mnogo.html
"Четыре дня в Бишкеке будут перекрывать ул. Абдрахманова, пр. Манаса и пр. Жибек Жолу",https://kaktus.media/doc/471123_chetyre_dnia_v_bishkeke_bydyt_perekryvat_yl._abdrahmanova_pr._manasa_i_pr._jibek_joly.html
Валюта в банках 23 ноября: евро вновь растет,https://kaktus.media/doc/471121_valuta_v_bankah_23_noiabria:_evro_vnov_rastet.html
В каких школах Бишкека запустят новые автобусы?,https://kaktus.media/doc/471122_v_kakih_shkolah_bishkeka_zapystiat_novye_avtobysy.html
"""Крики и ор даже в тихий час"". Жалобы родителей на заведующую детсадом №47 и ее ответ",https://kaktus.media/doc/471102_kriki_i_or_daje_v_tihiy_chas._jaloby_roditeley_na_zavedyushyu_detsadom_47_i_ee_otvet.html
"Дети уже начали учиться в новых школах Бишкека, хотя их еще не открыли",https://kaktus.media/doc/471107_deti_yje_nachali_ychitsia_v_novyh_shkolah_bishkeka_hotia_ih_eshe_ne_otkryli.html
Депутат предлагает запретить майнинг-фермы в Кыргызстане,https://kaktus.media/doc/471109_depytat_predlagaet_zapretit_mayning_fermy_v_kyrgyzstane.html
Установлены размеры зарплаты по Кыргызстану для расчета страховых взносов (документ),https://kaktus.media/doc/471119_ystanovleny_razmery_zarplaty_po_kyrgyzstany_dlia_rascheta_strahovyh_vznosov_dokyment.html
Машина Ташиева снова нарушила ПДД. Не без помощи УПСМ,https://kaktus.media/doc/471114_mashina_tashieva_snova_naryshila_pdd._ne_bez_pomoshi_ypsm.html
Целая семья погибла в ДТП по пути на той. Подробности аварии с восемью погибшими,https://kaktus.media/doc/471118_celaia_semia_pogibla_v_dtp_po_pyti_na_toy._podrobnosti_avarii_s_vosemu_pogibshimi.html
Обвинение потребовало выдворить Болота Темирова из Кыргызстана. Журналист обратился к суду,https://kaktus.media/doc/471117_obvinenie_potrebovalo_vydvorit_bolota_temirova_iz_kyrgyzstana._jyrnalist_obratilsia_k_sydy.html
Журналист Болот Темиров подаст в суд на Садыра Жапарова и Камчыбека Ташиева,https://kaktus.media/doc/471112_jyrnalist_bolot_temirov_podast_v_syd_na_sadyra_japarova_i_kamchybeka_tashieva.html
"Владельцы ""Манчестер Юнайтед"" рассматривают вариант продажи клуба",https://kaktus.media/doc/471115_vladelcy_manchester_unayted_rassmatrivaut_variant_prodaji_klyba.html
Около десятка человек погибли при стрельбе в магазине Walmart в США,https://kaktus.media/doc/471116_okolo_desiatka_chelovek_pogibli_pri_strelbe_v_magazine_walmart_v_ssha.html
