Lexus LX,https://im.mashina.kg/tachka/images//0/f/f/0ff386faf8fdd8888783ed9e436d7d3e_240x180.jpg,$ 26 000,"2006 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 200 000 км"
Toyota Land Cruiser Prado,https://im.mashina.kg/tachka/images//e/a/e/eaee171b8e74d14b48e107814bfd32df_240x180.jpg,$ 84 000,"2020 г., 4 л., автомат внедорожник 5 дв., бензин руль слева, 19 000 км"
Mercedes-Benz GLS-класс,https://im.mashina.kg/tachka/images//e/9/8/e98bba2b26103d5ed6a3f5edbc61d07b_240x180.jpg,$ 55 000,"2017 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 85 000 км"
Toyota Highlander,https://im.mashina.kg/tachka/images//5/4/9/5495ddf13ee0806e8f1b8d3835b4942c_240x180.jpg,$ 41 500,"2017 г., 3.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 130 000 км"
Hyundai Sonata,https://im.mashina.kg/tachka/images//8/8/7/887e13b7d0ebd183fd9775796b127884_240x180.jpg,$ 9 300,"2011 г., 2 л., автомат седан, газ руль слева, 276 619 км"
Toyota Camry,https://im.mashina.kg/tachka/images//3/d/e/3de5616d38b89f89ea473103f3e67598_240x180.jpg,$ 23 900,"2018 г., 2.5 л., автомат седан, бензин руль слева, 95 000 км"
Lexus NX,https://im.mashina.kg/tachka/images//c/2/c/c2cec10832d7a0c694a3c8a2bbadda5a_240x180.jpg,$ 42 500,"2020 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 30 000 км"
Honda CR-V,https://im.mashina.kg/tachka/images//1/a/d/1ade8ef8b7e16869063255490c73b7ce_240x180.jpg,$ 14 700,"2007 г., 2 л., автомат внедорожник 5 дв., бензин руль слева"
Toyota Camry,https://im.mashina.kg/tachka/images//b/d/5/bd543511b7f6bcce2fb68560f1c3ed9e_240x180.jpg,$ 35 500,"2021 г., 2.5 л., автомат седан, бензин руль слева, 27 000 км"
BMW 7 Серия,https://im.mashina.kg/tachka/images//2/c/6/2c66d6fb8abcc593063f43be2152339b_240x180.jpg,$ 205 000,"2022 г., 3 л., автомат седан, бензин руль слева"
Subaru Outback,https://im.mashina.kg/tachka/images//8/c/2/8c2eb97c65244a3fd0043ace054a41dd_240x180.jpg,$ 14 500,"2010 г., 3.6 л., автомат универсал, бензин руль слева"
